BootstrapReplicate,AP_HRGGM,AP_LVGGM,AP_PriorCorrelation,Enrichment721_HRGGM,Enrichment721_LVGGM,Enrichment721_PriorCorrelation
127,0.287408526888225,0.174357480128977,0.185814993669163,1.54054776665608,1.12863659910098,1.13687482245208
128,0.258130848064263,0.185319865230059,0.201237167461032,1.41697441638955,1.24397172601641,1.29340106612302
129,0.274306207907521,0.188724553423398,0.21584393441753,1.47464197984727,1.13687482245208,1.40873619303845
130,0.290324198176725,0.201478943207244,0.218513093602098,1.44992730979396,1.35106862958074,1.38402152298514
131,0.266983659338518,0.165162476376802,0.19005069144815,1.54878599000719,1.02977791888776,1.2192570559631
132,0.2509788434339,0.191856035968899,0.199519917468166,1.30163928947412,1.24397172601641,1.27692461942082
133,0.270149744876807,0.190551905772867,0.205090681869723,1.40873619303845,1.23573350266531,1.40049796968735
134,0.274605209628018,0.183575069282632,0.209750238580891,1.44992730979396,1.15335126915429,1.22749527931421
135,0.278756801110893,0.185802252166927,0.185833664877679,1.57350066006049,1.17806593920759,1.2192570559631
136,0.259762661933909,0.175286813713803,0.18861485081499,1.41697441638955,1.08744548234547,1.26868639606972
137,0.262711266352047,0.180709445240283,0.200102726745563,1.35106862958074,1.2192570559631,1.29340106612302
138,0.277801669854735,0.191817376738035,0.202654797477507,1.43345086309176,1.16158949250539,1.29340106612302
139,0.263028271891056,0.182663770537627,0.201599630487587,1.50759487325168,1.1863041625587,1.29340106612302
140,0.295680699806311,0.188240211526376,0.203385363739149,1.5982153301138,1.26868639606972,1.40049796968735
141,0.258108193088892,0.184525128293026,0.207063613660612,1.44992730979396,1.15335126915429,1.30163928947412
142,0.262346110604726,0.177400262995423,0.188078790857141,1.35930685293184,1.22749527931421,1.2027806092609
143,0.280246901788206,0.181403256079521,0.194515065499962,1.49111842654947,1.09568370569657,1.23573350266531
144,0.317144959498014,0.187405631140312,0.210651034138288,1.6064535534649,1.2192570559631,1.34283040622963
145,0.267847865737899,0.190631211990323,0.200610756028207,1.43345086309176,1.24397172601641,1.211018832612
146,0.282750360313271,0.177379558545429,0.199778565535488,1.45816553314506,1.11216015239878,1.33459218287853
147,0.269255142146155,0.16871811026458,0.193424982703754,1.42521263974065,1.07920725899437,1.211018832612
148,0.282634253975744,0.187622232084871,0.198684799509545,1.52407131995388,1.2027806092609,1.30987751282523
149,0.278261474417515,0.189017605613831,0.21954343589215,1.49935664990057,1.1945423859098,1.43345086309176
150,0.302147041994201,0.184091879515009,0.204639025083652,1.57350066006049,1.16982771585649,1.30987751282523
151,0.292648632572661,0.185246721918482,0.200384435971097,1.54054776665608,1.211018832612,1.25220994936751
152,0.290744464661047,0.174377127365115,0.193721204557431,1.54054776665608,1.12039837574988,1.25220994936751
153,0.310141484632255,0.182060286546077,0.200605578984656,1.6229300001671,1.16982771585649,1.30987751282523
154,0.278984780570938,0.181875504485363,0.202965085593549,1.50759487325168,1.16158949250539,1.2192570559631
155,0.281360063232989,0.190863405735496,0.198001581739998,1.53230954330498,1.23573350266531,1.28516284277192
156,0.307610559751523,0.19021158628857,0.200734995845001,1.50759487325168,1.24397172601641,1.30987751282523
157,0.280219602828209,0.180664327391767,0.186062665156384,1.50759487325168,1.17806593920759,1.12863659910098
158,0.281237879891748,0.190465376478629,0.214580558569017,1.44168908644286,1.2027806092609,1.40873619303845
159,0.300298992470751,0.193563660443398,0.200659584625415,1.51583309660278,1.30163928947412,1.35106862958074
160,0.269155266007881,0.170316582126642,0.190521760490428,1.47464197984727,1.07096903564327,1.27692461942082
161,0.263146036644598,0.175569209110248,0.192396717257729,1.39225974633625,1.12863659910098,1.16158949250539
162,0.269015235552057,0.178130800593535,0.184938001265374,1.38402152298514,1.15335126915429,1.16982771585649
163,0.29672064275106,0.190810629882951,0.200984279862275,1.54054776665608,1.211018832612,1.30987751282523
164,0.263322974177214,0.178139791538901,0.196083758285072,1.43345086309176,1.05449258894106,1.30163928947412
165,0.273675215431575,0.1840433660545,0.188638037216242,1.48288020319837,1.24397172601641,1.23573350266531
166,0.279914518305808,0.186572979379043,0.198160406509927,1.49935664990057,1.22749527931421,1.32635395952743
167,0.28975567419204,0.191541444579136,0.207097645155709,1.48288020319837,1.2027806092609,1.32635395952743
168,0.289172889189171,0.18001031993664,0.197499583300199,1.68883578697592,1.16158949250539,1.30163928947412
169,0.273567717454266,0.17944038178862,0.205734325996598,1.50759487325168,1.13687482245208,1.32635395952743
170,0.278084715708064,0.19493751343732,0.214214952589597,1.51583309660278,1.2027806092609,1.31811573617633
171,0.244254748729455,0.193607376662381,0.191513791691082,1.28516284277192,1.25220994936751,1.16158949250539
172,0.260895630637247,0.184542591082243,0.193147015516963,1.24397172601641,1.1863041625587,1.26868639606972
173,0.272908591086324,0.172633612811479,0.193828046666892,1.54054776665608,1.09568370569657,1.1945423859098
174,0.305251374901359,0.195047924955554,0.199951514349375,1.6229300001671,1.25220994936751,1.29340106612302
175,0.256891017931206,0.194916694333223,0.194235721116687,1.38402152298514,1.24397172601641,1.211018832612
176,0.283303192804361,0.198702759978105,0.200648993892688,1.53230954330498,1.30163928947412,1.27692461942082
177,0.26849541887834,0.184308314529194,0.192787701384567,1.44168908644286,1.15335126915429,1.2027806092609
178,0.274343182240133,0.17167252138851,0.200315888330257,1.34283040622963,1.06273081229216,1.25220994936751
179,0.267884075943734,0.176658631096684,0.198530899153931,1.38402152298514,1.13687482245208,1.24397172601641
180,0.266672996071578,0.184395293972822,0.194279320602636,1.42521263974065,1.17806593920759,1.2192570559631
181,0.287378827569665,0.190551250178863,0.211881797293581,1.52407131995388,1.25220994936751,1.35106862958074
182,0.280379907088196,0.186805880047342,0.188217987591387,1.51583309660278,1.23573350266531,1.17806593920759
183,0.273809734451472,0.180612870405154,0.210598316348908,1.48288020319837,1.1945423859098,1.33459218287853
184,0.295500922300803,0.183612198899456,0.214585648924669,1.64764467022041,1.1945423859098,1.35930685293184
185,0.280299152635706,0.194323131406248,0.214263272074526,1.47464197984727,1.31811573617633,1.36754507628294
186,0.300376981000822,0.174538907563572,0.199849761471716,1.57350066006049,1.08744548234547,1.26868639606972
187,0.284443381220269,0.183297557868281,0.192604840891367,1.54054776665608,1.16158949250539,1.2027806092609
188,0.286973359336553,0.210906981614919,0.235744310626799,1.53230954330498,1.32635395952743,1.52407131995388
189,0.281644337033372,0.187326846712485,0.204996143629618,1.47464197984727,1.211018832612,1.30987751282523
190,0.269992784171457,0.196450848529543,0.20666647617556,1.52407131995388,1.22749527931421,1.26044817271861
191,0.2886170730476,0.177734128826717,0.216583809062961,1.47464197984727,1.08744548234547,1.35106862958074
192,0.294517187274628,0.17858322902301,0.196644961600928,1.6064535534649,1.11216015239878,1.30163928947412
193,0.273725514743553,0.173267634395343,0.193405582656557,1.54054776665608,1.05449258894106,1.1945423859098
194,0.286542774760767,0.185690588613453,0.204227507517591,1.56526243670939,1.13687482245208,1.29340106612302
195,0.27555381362288,0.169409004861422,0.194119792740365,1.35930685293184,1.08744548234547,1.28516284277192
196,0.275631609468857,0.18506077244973,0.184179058467423,1.41697441638955,1.17806593920759,1.09568370569657
197,0.29881690058467,0.192405590377546,0.2085962226179,1.58173888341159,1.32635395952743,1.27692461942082
198,0.289028203548812,0.182612544920526,0.198498825764573,1.51583309660278,1.16982771585649,1.26868639606972
199,0.281698533058693,0.173764296542148,0.19530709640303,1.54878599000719,1.08744548234547,1.12039837574988
200,0.263063220921241,0.182363985706272,0.202606508054759,1.51583309660278,1.2192570559631,1.30163928947412
201,0.275153157505164,0.190445703359473,0.206185373760026,1.53230954330498,1.26868639606972,1.35106862958074
202,0.281883324654775,0.177681142942933,0.196275146038396,1.54878599000719,1.12039837574988,1.2192570559631
