Method,Permutation,MaximumSeedContrastEigenvalue,FWERThreshold
LV-GGM,270,0.00288251387762826,0.0130526397145708
LV-GGM,271,0.00921398601753449,0.0130526397145708
LV-GGM,272,0.00511148018554004,0.0130526397145708
LV-GGM,273,0.00297749441819706,0.0130526397145708
LV-GGM,274,0.0045787456685986,0.0130526397145708
LV-GGM,275,0.00204347243097356,0.0130526397145708
LV-GGM,276,0.00351937519971217,0.0130526397145708
LV-GGM,277,0.00125880732089184,0.0130526397145708
LV-GGM,278,0.00256689161834626,0.0130526397145708
LV-GGM,279,0.00581430530088036,0.0130526397145708
LV-GGM,280,0.00168634602534719,0.0130526397145708
LV-GGM,281,0.0050238813863918,0.0130526397145708
LV-GGM,282,0.00625008805347237,0.0130526397145708
LV-GGM,283,0.00225709672828233,0.0130526397145708
LV-GGM,284,0.00444154797585073,0.0130526397145708
LV-GGM,285,0.00535091753985622,0.0130526397145708
LV-GGM,286,0.00612726282248694,0.0130526397145708
LV-GGM,287,0.00350633777605508,0.0130526397145708
LV-GGM,288,0.00234862111646486,0.0130526397145708
LV-GGM,289,0.00172412458648404,0.0130526397145708
LV-GGM,290,0.0129504694694056,0.0130526397145708
LV-GGM,291,0.00313527260430009,0.0130526397145708
LV-GGM,292,0.0114439308818465,0.0130526397145708
LV-GGM,293,0.00516994615806553,0.0130526397145708
LV-GGM,294,0.0129515447905626,0.0130526397145708
LV-GGM,295,0.0111639241977832,0.0130526397145708
LV-GGM,296,0.00374316633063267,0.0130526397145708
LV-GGM,297,0.00595485064990758,0.0130526397145708
LV-GGM,298,0.00256008059977718,0.0130526397145708
LV-GGM,299,0.00647910175781239,0.0130526397145708
LV-GGM,300,0.00423195420772422,0.0130526397145708
LV-GGM,301,0.0145980168704628,0.0130526397145708
LV-GGM,302,0.00265255810145543,0.0130526397145708
LV-GGM,303,0.00386689483070336,0.0130526397145708
LV-GGM,304,0.00991002226832338,0.0130526397145708
LV-GGM,305,0.00285531797283936,0.0130526397145708
LV-GGM,306,0.00343813360793108,0.0130526397145708
LV-GGM,307,0.0133419629036245,0.0130526397145708
LV-GGM,308,0.00638206356927303,0.0130526397145708
LV-GGM,309,0.00608858222377322,0.0130526397145708
LV-GGM,310,0.00440525282989335,0.0130526397145708
LV-GGM,311,0.013261135179942,0.0130526397145708
LV-GGM,312,0.00347970600239068,0.0130526397145708
LV-GGM,313,0.0055992572205981,0.0130526397145708
LV-GGM,314,0.00321119285356836,0.0130526397145708
LV-GGM,315,0.002830701345854,0.0130526397145708
LV-GGM,316,0.00670791594507815,0.0130526397145708
LV-GGM,317,0.0100373593321268,0.0130526397145708
LV-GGM,318,0.00362478848006668,0.0130526397145708
LV-GGM,319,0.00483239346377623,0.0130526397145708
LV-GGM,320,0.00262522402872581,0.0130526397145708
LV-GGM,321,0.0041417363692144,0.0130526397145708
LV-GGM,322,0.00811777239869159,0.0130526397145708
LV-GGM,323,0.0031674897417249,0.0130526397145708
LV-GGM,324,0.00435254634599202,0.0130526397145708
LV-GGM,325,0.0013700286388752,0.0130526397145708
LV-GGM,326,0.00240628991882673,0.0130526397145708
LV-GGM,327,0.00503699126546627,0.0130526397145708
LV-GGM,328,0.00996271567722443,0.0130526397145708
LV-GGM,329,0.00486685083692708,0.0130526397145708
LV-GGM,330,0.00746004955876703,0.0130526397145708
LV-GGM,331,0.00269661760030173,0.0130526397145708
LV-GGM,332,0.00452757855062816,0.0130526397145708
LV-GGM,333,0.00255024121003599,0.0130526397145708
LV-GGM,334,0.00426574648836018,0.0130526397145708
LV-GGM,335,0.00376423831081824,0.0130526397145708
LV-GGM,336,0.00343046680075898,0.0130526397145708
LV-GGM,337,0.00715344382183989,0.0130526397145708
LV-GGM,338,0.00218547367092662,0.0130526397145708
LV-GGM,339,0.00157167183227528,0.0130526397145708
LV-GGM,340,0.00407877374762319,0.0130526397145708
LV-GGM,341,0.00522917769513336,0.0130526397145708
LV-GGM,342,0.00272419271807798,0.0130526397145708
LV-GGM,343,0.00348804773066007,0.0130526397145708
LV-GGM,344,0.00482690157524512,0.0130526397145708
LV-GGM,345,0.0133954372656935,0.0130526397145708
LV-GGM,346,0.00361663521302134,0.0130526397145708
LV-GGM,347,0.00328921581044682,0.0130526397145708
LV-GGM,348,0.0046993882535854,0.0130526397145708
LV-GGM,349,0.0100364453694791,0.0130526397145708
LV-GGM,350,0.00614755423549358,0.0130526397145708
LV-GGM,351,0.00786749822102999,0.0130526397145708
LV-GGM,352,0.00253562643910298,0.0130526397145708
LV-GGM,353,0.0134108560880854,0.0130526397145708
LV-GGM,354,0.00190564190456861,0.0130526397145708
LV-GGM,355,0.0111290046233033,0.0130526397145708
LV-GGM,356,0.00738001896358982,0.0130526397145708
LV-GGM,357,0.00771296057290254,0.0130526397145708
LV-GGM,358,0.0119443294289209,0.0130526397145708
LV-GGM,359,0.00315496502645672,0.0130526397145708
LV-GGM,360,0.00250497656027984,0.0130526397145708
LV-GGM,361,0.00220657813730223,0.0130526397145708
LV-GGM,362,0.0074675980244991,0.0130526397145708
LV-GGM,363,0.00308211289245845,0.0130526397145708
LV-GGM,364,0.00176377561544269,0.0130526397145708
LV-GGM,365,0.00826200204736261,0.0130526397145708
LV-GGM,366,0.00235641722428975,0.0130526397145708
LV-GGM,367,0.010926234644069,0.0130526397145708
LV-GGM,368,0.006203509202051,0.0130526397145708
LV-GGM,369,0.00719570332366008,0.0130526397145708
LV-GGM,370,0.00628501212069936,0.0130526397145708
LV-GGM,371,0.0137354921694792,0.0130526397145708
LV-GGM,372,0.00234289301429837,0.0130526397145708
LV-GGM,373,0.00582033292103706,0.0130526397145708
